  V_V1                  I(D1)                
  8.800000000000e-001  3.197786185442e-001  
  8.900000000000e-001  3.746456388817e-001  
  9.000000000000e-001  4.368019508816e-001  
  9.100000000000e-001  5.066645519676e-001  
  9.200000000000e-001  5.845648591713e-001  
  9.300000000000e-001  6.707382239799e-001  
  9.400000000000e-001  7.653192477523e-001  
  9.500000000000e-001  8.683429595253e-001  
  9.600000000000e-001  9.797511944049e-001  
  9.700000000000e-001  1.099402988129e+000  
  9.800000000000e-001  1.227087552411e+000  
  9.900000000000e-001  1.362538406483e+000  
  1.000000000000e+000  1.505447445401e+000  
